"subject","item","reading_time","ambiguity","group","gap_filling","ambiguity_G","group_G","gap_filling_G"
"Native 2",18,4641,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 2",25,7225,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 2",28,17071,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 3",15,8520,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 3",17,9396,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 3",23,7273,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 3",30,8586,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 3",20,9086,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 3",24,4546,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 3",26,7865,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 3",29,5300,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 3",18,4662,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 3",21,8975,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 3",27,4751,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 3",14,6587,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 4",26,3229,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 4",29,4859,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 4",23,2450,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 4",14,2268,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 4",20,3665,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 4",17,6151,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 4",13,2420,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 4",16,3380,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 4",22,4453,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 4",19,2879,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 4",25,2160,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 4",28,4260,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 5",18,5311,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 5",28,4772,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 5",27,2575,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 5",24,4835,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 5",15,4809,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 5",21,4733,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 5",19,4205,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 5",30,2431,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 5",13,5285,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 5",25,5236,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 5",16,3245,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 5",22,2415,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 6",23,2683,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 6",18,2199,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 6",17,2308,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 6",21,2077,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 6",30,2101,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 6",15,1959,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 6",24,1975,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 6",29,1974,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 6",27,1933,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 6",26,1894,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 6",14,1795,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 6",20,1734,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 7",16,4465,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 7",28,5532,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 7",25,4571,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 7",20,8911,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 7",19,3818,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 7",29,3960,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 7",23,7239,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 7",14,3488,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 7",13,2987,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 7",26,2690,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 7",22,2952,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 7",17,2493,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 8",25,7867,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 8",30,14584,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 8",28,5870,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 8",13,4377,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 8",18,3790,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 8",19,4326,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 8",16,6198,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 8",24,5960,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 8",27,6987,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 8",21,6945,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 8",22,4682,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 8",15,7930,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 9",20,4901,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 9",24,3330,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 9",14,3082,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 9",18,4055,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 9",29,3780,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 9",26,3729,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 9",30,2818,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 9",17,3578,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 9",15,3559,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 9",23,3886,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 9",21,6243,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 9",27,2073,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 10",17,3036,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 10",20,8167,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 10",14,9953,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 10",25,13008,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 10",22,4515,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 10",19,7083,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 10",13,8916,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 10",26,7046,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 10",29,2707,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 10",23,3830,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 10",28,4672,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 10",16,3938,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 11",30,10343,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 11",21,6134,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 11",13,7329,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 11",22,10694,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 11",27,5818,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 11",28,9578,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 11",19,5577,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 11",25,5487,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 11",16,5172,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 11",24,6812,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 11",15,3484,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 11",18,4601,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 12",29,3894,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 12",30,8796,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 12",14,3605,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 12",20,5121,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 12",15,3305,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 12",21,5950,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 12",26,5896,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 12",23,7373,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 12",17,5846,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 12",18,6974,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 12",24,4052,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 12",27,5176,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 13",17,5288,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 13",13,3733,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 13",20,3307,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 13",26,2650,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 13",23,2821,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 13",22,8677,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 13",19,3547,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 13",14,2198,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 13",29,2674,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 13",28,4125,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 13",16,3104,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 13",25,6298,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 14",22,7336,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 14",25,11400,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 14",21,11381,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 14",28,11413,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 14",15,8812,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 14",13,10849,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 14",24,7207,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 14",19,7078,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 14",30,9678,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 14",18,4545,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 14",27,4815,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 14",16,6791,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 15",27,7392,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 15",29,6563,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 15",20,11173,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 15",15,6415,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 15",18,3971,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 15",24,2728,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 15",17,11074,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 15",21,5155,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 15",30,6744,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 15",14,4164,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 15",23,3538,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 15",26,5833,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 16",22,9694,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 16",28,8445,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 16",29,3777,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 16",25,12037,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 16",14,7753,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 16",16,5239,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 16",19,7860,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 16",20,8841,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 16",13,9879,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 16",23,9390,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 16",26,7861,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 16",17,7244,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 17",27,11018,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 17",22,6178,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 17",13,5513,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 17",28,6375,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 17",16,3559,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 17",25,8738,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 17",30,7978,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 17",15,5497,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 17",18,10741,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 17",21,9375,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 17",19,10143,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 17",24,6998,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 18",25,5999,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 18",23,5671,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 18",20,9153,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 18",28,11007,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 18",16,5696,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 18",13,4289,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 18",19,5529,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 18",17,4753,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 18",29,4342,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 18",22,7671,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 18",26,4172,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 18",14,2976,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 19",13,8573,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 19",16,10017,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 19",15,5175,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 19",22,6470,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 19",27,5248,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 19",19,4296,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 19",21,6561,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 19",25,6204,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 19",28,12088,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 19",18,6193,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 19",30,5298,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 19",24,6349,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 20",30,4998,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 20",29,5456,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 20",23,4119,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 20",18,3765,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 20",21,4034,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 20",27,2603,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 20",26,934,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 20",24,1832,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 20",17,2661,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 20",20,1653,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 20",14,3370,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 20",15,1711,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 21",14,1607,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 21",29,2449,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 21",25,2947,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 21",16,2985,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 21",23,1478,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 21",17,2809,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 21",13,2557,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 21",22,2398,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 21",19,4123,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 21",28,3331,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 21",20,2191,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 21",26,1376,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 22",15,7233,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 22",16,9581,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 22",22,5474,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 22",13,9964,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 22",21,12247,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 22",19,4828,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 22",30,6904,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 22",25,7251,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 22",27,7740,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 22",18,3544,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 22",24,3426,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 22",28,3653,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 23",15,4746,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 23",17,6607,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 23",18,3503,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 23",30,5576,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 23",21,4098,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 23",27,3335,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 23",23,9195,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 23",26,5961,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 23",20,4951,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 23",14,6853,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 23",29,3932,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 23",24,4936,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 24",14,7859,-0.5,-0.5,0.5,"Unambiguous","Native","Preposition_Gap_Filling"
"Native 24",22,5262,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 24",19,7683,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 24",28,5287,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
"Native 24",25,3935,0.5,-0.5,0.5,"Ambiguous","Native","Preposition_Gap_Filling"
